state,cycle,as_of_date,basis,reg_total,reg_dem,reg_rep,reg_oth,reg_npa,npa_label,source_url,retrieved_at,note
CT,2026,2025-10-17,active,2252714,792887,489905,34030,935892,Unaffiliated,https://portal.ct.gov/-/media/sots/electionservices/2025/registration-and-enrollment/nov25re.pdf,2026-09-07,CT publishes this report ONCE A YEAR in late Oct; as of 2026-09-07 the newest published edition is still 2025-10-17. Active+inactive: total 2503192 / dem 878453 / rep 528800 / minor 38378 / unaff 1057561.
DC,2022,2022-10-31,unstated,508165,390698,27117,7885,82465,N-P,https://www.dcboe.org/getmedia/ba6b2b98-0b7c-4cd4-93cd-62cae3d4494e/Data-Statistics-Report-10_2022.pdf,2026-09-07,"reg_oth = LIB 2,406 + STG 4,017 + OTH 1,462; report has no active/inactive split"
DC,2024,2024-10-31,unstated,460335,349932,23225,7174,80004,N-P,https://www.dcboe.org/getmedia/4d5bea39-f736-41bd-8ff5-dcb383f59ff5/Data-Statistics-Report-10_2024.pdf,2026-09-07,"reg_oth = STG 4,074 + OTH 3,100; LIB column no longer printed in 2024"
DC,2026,2026-07-31,unstated,488073,370650,24680,7346,85397,N-P,https://www.dcboe.org/getContentAsset/55ac4e03-bbd5-4681-ba48-864e12168de1/5ebbd046-860b-4ee1-81c8-43d0e3bc446e/Data-Statistics-Report-7_2026.pdf?language=en,2026-09-07,most recent report posted as of 2026-09-07; the listing page's newest 2026 entry is the July 31 2026 report (no Aug 2026 report posted)
DE,2022,2022-10-02,unstated,763229,362992,210480,18469,171288,NO PARTY,https://elections.delaware.gov/voter/registrationtotals/pdfs/vrt_PP20221002.pdf,2026-09-07,3 counties; site 403s without a browser User-Agent
DE,2024,2024-10-01,unstated,786577,353212,206770,21641,204954,NO PARTY + NO PARTY - AVR,https://elections.delaware.gov/voter/registrationtotals/pdfs/vrt_PP20241001.pdf,2026-09-07,"npa combines two printed rows: NO PARTY 184,540 and NO PARTY - AVR 20,414"
DE,2026,2026-09-01,unstated,808038,330956,199303,22639,255140,NO PARTY CHOICE + NO PARTY - AVR,https://elections.delaware.gov/voter/registrationtotals/pdfs/vrt_PP20260901.html,2026-09-07,source states Last Updated: 2026-09-01 10:42:06 AM; only .html exists for this month (no .pdf); IND PTY OF DE relabelled INDEPENDENT and NO PARTY relabelled NO PARTY CHOICE
FL,2022,2022-10-11,active,14503978,4971444,5277394,262155,3992985,No Party Affiliation,https://dos.fl.gov/media/706001/1-by-party-by-county.pdf,2026-09-07,"pre-general book closing; 67 counties + Total row; Independent Party of Florida (206,024) is a real minor party and is inside reg_oth, not npa"
FL,2024,2024-10-07,active,13949168,4421790,5499717,411491,3616170,No Party Affiliation,https://dos.fl.gov/media/708492/1-party-by-county.pdf,2026-09-07,"pre-general book closing; Independent Party of Florida (276,467) is inside reg_oth"
FL,2026,2026-07-31,active,13499674,4066503,5607836,497679,3327656,No Party Affiliation,https://dos.fl.gov/elections/data-statistics/voter-registration-statistics/voter-registration-reports/voter-registration-by-party-affiliation/,2026-09-07,most recent FL figure published as of 2026-09-07; reg_oth is FL's own aggregated 'Minor Parties' column (no per-party split on this report)
IA,2022,2022-10-03,active,1867161,596776,684800,14796,570789,No Party,https://sos.iowa.gov/elections/pdf/VRStatsArchive/2022/CoOct22.pdf,2026-09-07,"ACTIVE only; report also prints Inactive 360,479 and Grand Total 2,227,640. No Libertarian column this cycle."
IA,2024,2024-10-01,active,1606466,476193,643051,12193,475029,No Party,https://sos.iowa.gov/elections/pdf/VRStatsArchive/2024/CoOct24.pdf,2026-09-07,"ACTIVE only; also prints Inactive 627,735 and Grand Total 2,234,201. reg_oth = Libertarian 10,047 + Other 2,146. Note the large 2024 active-to-inactive shift vs 2022 is in the source, not a parsing error."
IA,2026,2026-09-01,active,1819109,529275,711990,13263,564581,No Party,https://sos.iowa.gov/elections/pdf/VRStatsArchive/2026/CoSep26.pdf,2026-09-07,"most recent monthly as of 2026-09-07; ACTIVE only; also prints Inactive 338,623 and Grand Total 2,157,732. Libertarian column no longer printed."
ID,2022,2022-10-01,unstated,999384,129828,577087,15248,277221,UNA,https://archive.voteidaho.gov/data/voter-registrations/202210_CountyTotals.csv,2026-09-07,"file is labelled only 202210; day-of-month inferred from the state's 1st-of-month convention. reg_oth = CON 4,025 + LIB 11,223"
ID,2024,2024-10-01,unstated,1042931,133323,616949,16159,276500,UNA,https://archive.voteidaho.gov/data/voter-registrations/202410_CountyTotals.csv,2026-09-07,"file labelled only 202410; day-of-month inferred. reg_oth = CON 4,347 + LIB 11,812"
ID,2026,2026-09-01,unstated,1030522,122021,646820,14758,246923,UNA,https://archive.voteidaho.gov/data/voter-registrations/202609_CountyTotals.csv,2026-09-07,"page states 'Last updated September 1, 2026'; file last-modified 2026-09-01; 202610 does not exist. reg_oth = CON 4,085 + LIB 10,673"
KS,2022,2022-10-01,active+inactive,1975190,523346,883959,24179,543706,Unaffiliated,https://sos.ks.gov/elections/vr-statistics/2022/10-2022-Voter-Registration-Numbers-by-County.xlsx,2026-09-07,"Only four party columns exist in 2022: Democratic, Libertarian, Republican, Unaffiliated. reg_oth = Libertarian only. as_of confirmed by the SOS's own 2022 cumulative workbook, which dates this file's totals to 2022-10-01. Includes inactive voters."
KS,2024,2024-11-01,active+inactive,2031132,518966,908890,28546,574730,Unaffiliated,https://sos.ks.gov/elections/vr-statistics/2024/11-2024-Voter-Registration-Numbers-by-County.xlsx,2026-09-07,"KANSAS PUBLISHED NO OCTOBER 2024 FILE (10-2024-...xlsx returns the SOS 404 page with HTTP 200). This is the nearest file to Oct 2024; its sheet is named 'Nov. 2024'. AMBIGUITY: the SOS 2024 cumulative workbook lists IDENTICAL figures for both 2024-10-01 and 2024-11-01, so the true snapshot date is one of those two. reg_oth = Libertarian 24568 + No Labels Kan 3563 + United Kansas 414 + Other 1. Includes inactive voters."
KS,2026,2026-06-01,active+inactive,2008764,496464,891106,24978,596216,Unaffiliated,https://sos.ks.gov/elections/vr-statistics/2026/06-2026-Voter-Registration-Numbers-by-County.xlsx,2026-09-07,"Latest KS file on the SOS page is June 2026 — a 3-month lag as of 2026-09-07; 07/08/09-2026 URLs return the SOS 404 page with HTTP 200. 'No Labels Kansas' collapses 7198 (May) -> 84 (June) while Unaffiliated jumps +8709, i.e. an apparent party-status change; reported as printed, not smoothed. reg_oth = Libertarian 23717 + No Labels Kansas 84 + United Kansas 1177. Includes inactive voters."
KY,2022,2022-10-17,unstated,3590227,1607218,1629364,211481,142164,Ind,https://elect.ky.gov/Resources/Documents/voterstatscounty-20221017-200815.pdf,2026-09-07,KY prints BOTH an 'Other' (191938) and an 'Ind' (142164) column and no 'Unaffiliated' column; reg_oth here = Other+Libert+Green+Const+Reform+Soc Wk. This is the '2022 General Registration Statistics (October 17th)' book-closing snapshot. Basis unstated (no active/inactive label anywhere in the report).
KY,2024,2024-10-31,unstated,3548407,1508505,1659413,213475,167014,Ind,https://elect.ky.gov/Resources/Documents/voterstatscounty-October%202024.pdf,2026-09-07,"Report header prints month only ('October, 2024'); per the SBE's own stated convention it covers October 2024 and was generated 2024-11-01 (PDF CreationDate Fri Nov 1 08:44:47 2024 EDT). as_of_date is month-end by that convention, NOT a date printed in the document. reg_oth = Other+Libert+Green+Const+Reform+Soc Wk. Basis unstated."
KY,2026,2026-08-31,unstated,3381901,1371014,1624505,206069,180313,Ind,https://elect.ky.gov/Resources/Documents/voterstatscounty-August%202026.pdf,2026-09-07,"Most recent KY report as of 2026-09-07; no September 2026 file exists yet (probed voterstatscounty-September%202026.pdf -> HTTP 404). New 'KY Prty' (Kentucky Party) column appears in 2026 = 305, folded into reg_oth. Header prints month only; PDF CreationDate Mon Aug 31 21:27:36 2026 EDT. Basis unstated."
LA,2022,2022-10-01,active+inactive,3010596,1189537,1005047,816012,,,https://electionstatistics.sos.la.gov/Data/Registration_Statistics/statewide/2022_1001_sta_comb.pdf,2026-09-07,"LOUISIANA REPORTED ONLY THREE BUCKETS IN 2022: DEMOCRATS, REPUBLICANS, OTHER PARTIES. There is NO separate no-party/unaffiliated column, so reg_npa and npa_label are BLANK and the whole 816012 sits in reg_oth. That figure conflates registered-no-party voters with minor-party registrants; do not split it. Status Both = active+inactive."
LA,2024,2024-10-01,active+inactive,3019315,1133877,1044564,840874,,,https://electionstatistics.sos.la.gov/Data/Registration_Statistics/statewide/2024_1001_sta_comb.pdf,2026-09-07,"Same three-bucket format as 2022: no separate no-party column, so reg_npa/npa_label BLANK and 840874 (OTHER PARTIES) conflates no-party with minor parties. Status Both = active+inactive."
LA,2026,2026-09-01,active+inactive,2973271,1059085,1066642,24516,823028,NO PARTY,https://electionstatistics.sos.la.gov/Data/Registration_Statistics/statewide/2026_0901_sta_comb.pdf,2026-09-07,FORMAT CHANGE: starting with the 2026_0501 file Louisiana splits 'NO PARTY' out from 'OTHER PARTIES'. So the 2026 row has a real reg_npa while 2022/2024 do not — reg_oth is NOT comparable across cycles for LA (816012/840874 in 2022/2024 vs 24516 in 2026). Status Both = active+inactive. Latest file available; 2026_1001 not yet published.
MA,2022,2022-10-29,unstated,4884076,1438607,437211,56395,2951863,Unenrolled,https://www.sec.state.ma.us/divisions/elections/download/research-and-statistics/enrollment_count_20221029.pdf,2026-09-07,"reg_oth = ""Political Designations"" 56,395; MA had no recognized third party in Oct 2022. PDF prints only Total/Dem/Rep/Unenrolled; the Political Designations figure comes from the SoS historical enrollment table (Oct. 2022 row), which matches the PDF exactly on the other four numbers. Fetched via Wayback (site 403s)."
MA,2024,2024-10-26,unstated,5142343,1352937,434887,52026,3302493,Unenrolled,https://www.sec.state.ma.us/divisions/elections/download/research-and-statistics/enrollment_count_20241105.pdf,2026-09-07,"reg_oth = Libertarian 16,467 + Political Designations 35,559 = 52,026 (my sum). File is named ...20241105 but its content is headed ""as of 10/26/2024"". Fetched via Wayback (site 403s)."
MA,2026,2025-02-01,unstated,5025826,1298603,423387,49401,3254435,Unenrolled,https://www.sec.state.ma.us/divisions/elections/download/research-and-statistics/enrollment_count_20250201.pdf,2026-09-07,"NOT A 2026 FIGURE. This is the most recent MA enrollment report I could actually retrieve. MA's own Registration Statistics index (captured 2026-01-03) still lists 02/01/2025 as its newest report, and the SoS historical table captured 2026-09-03 still ends at Feb. 2025. A Sept-2026-state-primary report may exist but is unreachable (see NOT FOUND). Treat as low confidence for cycle 2026."
MD,2022,2022-10-22,active,4124156,2235977,992188,69315,826676,UNA,https://elections.maryland.gov/press_room/2022_stats/GG22/Eligible%20Active%20Voters%20by%20County%20-%20GG22.pdf,2026-09-07,"Official close-of-registration snapshot for the 11/8/2022 general; document prints '**As of October 22, 2022' and 'Eligible Active Voters on the Precinct Register'. reg_oth = BAR 0 + GRN 6494 + LIB 17353 + WCP 4372 + OTH 41096. BAR (Bread and Roses) prints an explicit 0 — retained as printed, not blanked."
MD,2024,2024-10-20,active,4204572,2211316,1007384,78234,907638,UNA,https://elections.maryland.gov/press_room/2024_stats/PG24/Eligible%20Active%20Voters%20by%20County%20-%20PG24.pdf,2026-09-07,"Official close-of-registration snapshot for the 11/5/2024 general; document prints '**As of October 20, 2024' and 'Eligible Active Voters on the Precinct Register'. reg_oth = LIB 19277 + OTH 47511 + NLM 6483 + GRN 4963. Party column set differs from 2022 (NLM appears, BAR/WCP absent)."
MD,2026,2026-08-31,active,4322671,2222557,1014245,80467,1005402,UNA,https://elections.maryland.gov/pdf/vrar/2026/MSR-2026_08.pdf,2026-09-07,Latest monthly Voter Registration Activity Report (August 2026; MSR-2026_09.pdf does not exist — returns the SBE HTML 404). Report is headed only 'August 2026' with NO printed day; as_of_date shown is month-end and is NOT stated in the document (PDF CreationDate Thu Sep 3 15:01:27 2026 EDT). County table header is 'TOTAL ACTIVE REGISTRATION'; statewide INACTIVE = 288388 reported separately. reg_oth = GRN 6227 + WCP 5207 + OTH 69033; LIB and NLM columns no longer exist in 2026.
ME,2022,2022-11-08,active,929017,345422,280150,37753,265692,UNENROLLED,https://www.maine.gov/sos/sites/maine.gov.sos/files/content/assets/r-e-active111822.pdf,2026-09-07,"Maine publishes per-election snapshots, not monthly. Nearest to Oct 2022 is the 11/8/2022 General Election snapshot (previous option was 6/14/2022). reg_oth = GREEN INDEPENDENT 36526 + LIBERTARIAN 1227. Report states Voter Status: ACTIVE and As of Date: 08-Nov-2022."
ME,2024,2024-11-05,active,1037570,357063,310267,60554,309686,UNENROLLED,https://www.maine.gov/sos/sites/maine.gov.sos/files/content/assets/Reg-20--20Enr-20as-20of-2011-5-24-20pdf-20-A-.pdf,2026-09-07,"11/5/2024 General/Referendum Election snapshot — nearest to Oct 2024 (previous option 6/11/2024). NO LABELS (17011) existed as a Maine party in 2024 and is folded into reg_oth along with GREEN INDEPENDENT 37458 and LIBERTARIAN 6085. Report states Voter Status: ACTIVE, As of Date: 05-Nov-2024."
ME,2026,2026-03-07,active,897677,305364,273632,36367,282314,UNENROLLED,https://www.maine.gov/sos/sites/maine.gov.sos/files/inline-files/E%26R%203.7.26%20ACTIVE%20After%20Inactivation%20Process.xlsx,2026-09-07,"File is 'E&R 3.7.26 ACTIVE After Inactivation Process.xlsx'; the SOS Voter Data page labels it '(as of 3/7/2026)' — the workbook itself carries NO internal as-of date, so the date comes from the filename + page label. Post-NVRA-inactivation snapshot: total falls from 1038127 (11/4/2025) to 897677, so ~140k moved to the inactive file. NO LABELS is gone from the 2026 party list. reg_oth = GREEN INDEPENDENT 30687 + LIBERTARIAN 5680. Party totals summed by me from 741 ward/precinct rows."
NC,2022,2022-10-29,active+inactive,7404580,2496817,2222180,50394,2635189,Unaffiliated,https://vt.ncsbe.gov/RegStat/Results?date=2022-10-29,2026-09-07,"last weekly report dated in October 2022; NoLabels/Constitution/JusticeForAll/WeThePeople print literal 0 because those parties were not recognized then — treat as not-applicable, not as measured zeros"
NC,2024,2024-10-26,active+inactive,7793041,2437503,2327013,79955,2948570,Unaffiliated,https://vt.ncsbe.gov/RegStat/Results?date=2024-10-26,2026-09-07,last weekly report dated in October 2024
NC,2026,2026-09-05,active+inactive,7841737,2319801,2328738,51371,3141827,Unaffiliated,https://vt.ncsbe.gov/RegStat/Results?date=2026-09-05,2026-09-07,newest weekly report as of 2026-09-07 (RegStat refreshes Saturday mornings); NoLabels/Constitution/JusticeForAll/WeThePeople print literal 0 — those parties are no longer recognized
NE,2022,2022-10-01,unstated,1241451,345121,605744,21994,268592,Nonpartisan,https://sos.nebraska.gov/sites/default/files/doc/elections/vrstats/2022VR/Statewide-October-2022.pdf,2026-09-07,"reg_oth = Libertarian 18,376 + Legal Marijuana NOW 3,618 (my sum). Report header: ""Count of Registrants Eligible to Vote"" — no active/inactive split given."
NE,2024,2024-10-01,unstated,1249508,333902,614665,27079,273862,Nonpartisan,https://sos.nebraska.gov/sites/default/files/doc/elections/vrstats/2024VR/Statewide-October-2024.pdf,2026-09-07,"reg_oth = Libertarian 17,899 + Legal Marijuana NOW 8,151 + No Labels Nebraska 1,029 (my sum). ""Count of Registrants Eligible to Vote""."
NE,2026,2026-09-01,unstated,1258669,327935,619984,28277,282473,Nonpartisan,https://sos.nebraska.gov/sites/default/files/doc/elections/vrstats/2026VR/Statewide-September-2026.pdf,2026-09-07,"Newest report on the NE index. reg_oth = Libertarian 17,475 + Legal Marijuana NOW 10,680 + Nebraska Working People 18 + America First 104 (my sum). ""Count of Voters Eligible to Vote""."
NH,2022,2022-08-30,unstated,869863,273921,263934,,332008,Undeclared,https://www.sos.nh.gov/party-registration-history-1970-2026,2026-09-07,"NH publishes irregularly, not monthly. The history table has NO Oct/Nov 2022 row — it jumps from Aug 30 2022 to May 22 2023 — so this is the nearest available to Oct 2022 and is ~2 months early. reg_oth BLANK: the table has a Libertarian column but it is EMPTY for this row (Libertarian lost NH recognized-party status after 2018); D+R+U equals the printed total exactly, so there is no other-party bucket. Fetched via Wayback (site 403s)."
NH,2024,2024-09-30,unstated,895387,268943,308223,,318221,Undeclared,https://www.sos.nh.gov/party-registration-history-1970-2026,2026-09-07,Nearest row to Oct 2024. reg_oth BLANK (Libertarian column empty; D+R+U == total). Fetched via Wayback.
NH,2026,2026-08-03,unstated,898860,247069,299976,,351815,Undeclared,https://www.sos.nh.gov/party-registration-history-1970-2026,2026-09-07,Most recent row in the table as captured 2026-09-02. reg_oth BLANK (Libertarian column empty; D+R+U == total). Fetched via Wayback.
NJ,2022,2022-10-01,unstated,6488266,2530771,1525013,81049,2351433,UNA (Unaffiliated),https://www.nj.gov/state/elections/assets/pdf/svrs-reports/2022/2022-10-voter-registration-by-county.pdf,2026-09-07,"reg_oth = CNV 15,422 + CON 14,906 + GRE 11,667 + LIB 23,384 + NAT 6,124 + RFP 1,728 + SSP 7,818 (my sum). Report is headed only ""Statewide Voter Registration Summary"" — it does not say active vs active+inactive. Fetched live."
NJ,2024,2024-10-01,unstated,6659963,2528917,1611688,78431,2440927,UNA (Unaffiliated),https://www.nj.gov/state/elections/assets/pdf/svrs-reports/2024/2024-10-voter-registration-by-county.pdf,2026-09-07,"reg_oth = CNV 14,348 + CON 12,544 + GRE 11,520 + LIB 25,194 + NAT 5,535 + RFP 1,497 + SSP 7,793 (my sum). Basis not stated on the report. Fetched live."
NJ,2026,2026-09-01,unstated,6709471,2569509,1686473,74091,2379398,UNA (Unaffiliated),https://www.nj.gov/state/elections/assets/pdf/svrs-reports/2026/2026-09-voter-registration-by-county.pdf,2026-09-07,"Most recent published month (the 2026-10 file 404s). reg_oth = CNV 13,116 + CON 11,281 + GRE 11,311 + LIB 24,228 + NAT 5,240 + RFP 1,338 + SSP 7,577 (my sum). Basis not stated. Fetched live."
NM,2022,2022-10-31,unstated,1362028,602433,423915,28526,307154,NO PARTY/INDEPENDENT/DECLINED TO SELECT,https://api.realfile.rtsclients.com/PublicFiles/ee3072ab0d43456cb15a51f7d82c77a2/de721d18-4d4e-4c0d-a096-4fb5017ce3a7/Statewide_10-31-2022.pdf,2026-09-07,reg_oth = Libertarian 14828 + OTHER 13698; report prints no Active/Inactive split
NM,2024,2024-10-31,unstated,1377085,590301,435362,27769,323653,NO PARTY/INDEPENDENT/DECLINED TO SELECT,https://api.realfile.rtsclients.com/PublicFiles/ee3072ab0d43456cb15a51f7d82c77a2/226d9a5e-df71-40e0-9d61-13468b7b457d/Statewide_10-31-2024.pdf,2026-09-07,reg_oth = Libertarian 15299 + OTHER 12470; report prints no Active/Inactive split
NM,2026,2026-08-31,unstated,1450981,575726,444654,27205,403396,NO PARTY/DECLINED TO SELECT,https://api.realfile.rtsclients.com/PublicFiles/ee3072ab0d43456cb15a51f7d82c77a2/4dbf2f8c-f59d-43ea-9fcb-0d5fb0044158/Statewide_08-31-2026.pdf,2026-09-07,"format changed: no separate Libertarian column in 2026, so reg_oth is the printed OTHER column alone; NPA label also shortened"
NV,2022,2022-11-01,active,1853980,605540,553200,141410,553830,Non-Partisan,https://www.nvsos.gov/sos/home/showpublisheddocument/11160/638029789387570000,2026-09-07,"Document is titled ""Active Voters by County & Party"" and prints the date 11/1/2022; the NV SoS 2022 Statistics page files it under the row ""October 2022"". ACTIVE-ONLY (a separate Inactive report exists and was NOT used). reg_oth = IAP 79,844 + Libertarian 16,330 + Other 45,236 (my sum). Fetched via Wayback (site blocks all direct access)."
NV,2024,2024-11-01,active,2035166,609954,600754,148476,675982,Non-partisan,https://www.nvsos.gov/sos/home/showpublisheddocument/15127/638660661340030000,2026-09-07,"""Active Voters by County & Party"", prints 11/01/2024; filed under ""October 2024"" on the NV year page. ACTIVE-ONLY. reg_oth = IAP 92,037 + Libertarian 16,092 + Other 40,347 (my sum). Independently corroborated by the NV SoS press release of 11/01/2024, which prints identical figures. Fetched via Wayback."
NV,2026,2026-09-01,active,2062136,569337,568665,127329,796805,Nonpartisan,https://www.nvsos.gov/Home/Components/News/News/3788/23,2026-09-07,"Source is the NV SoS press release posted 09/02/2026 reporting the ""August 2026"" figures; the release prints NO explicit as-of date. as_of_date 2026-09-01 is inferred from NV's own established convention (the October 2022 report is dated 11/1/2022, the October 2024 report 11/01/2024). If you prefer, read this as ""end of August 2026"". ACTIVE-ONLY; the same release separately reports 426,577 inactive. reg_oth = IAP 82,903 + Libertarian 13,620 + other minor parties 30,806 (my sum). The underlying monthly county PDF is unreachable."
NY,2022,2022-11-01,active,12124242,6021708,2695984,601199,2805351,BLANK,https://elections.ny.gov/voters-registered-county-1112022,2026-09-07,ACTIVE only; active+inactive alternative: total 13129900 / dem 6511132 / rep 2895230 / oth 658946 / blank 3064592
NY,2024,2024-11-01,active,12426602,5946567,2821984,562186,3095865,BLANK,https://elections.ny.gov/voters-registered-county-11012024,2026-09-07,ACTIVE only; active+inactive alternative: total 13576708 / dem 6540337 / rep 3032934 / oth 618731 / blank 3384706
NY,2026,2026-02-20,active,12547142,6002006,2835976,521550,3187610,BLANK,https://elections.ny.gov/voters-registered-county-02202026,2026-09-07,most recent NY file as of 2026-09-07 (NY publishes Feb + Nov only; Nov 1 2026 not yet out); ACTIVE only; active+inactive alternative: total 13408058 / dem 6445605 / rep 2994839 / oth 557326 / blank 3410288
OK,2022,2022-10-31,unstated,2295906,687545,1175253,19780,413328,Independent,https://oklahoma.gov/content/dam/ok/en/elections/voter-registration-statistics/2022-vr-statistics/vrstats-county-oct-2022.pdf,2026-09-07,month-end report; reg_oth = Libertarian only; report shows no Active/Inactive split
OK,2024,2024-10-31,unstated,2442211,659061,1278045,23288,481817,Independent,https://oklahoma.gov/content/dam/ok/en/elections/voter-registration-statistics/2024-vr-statistics/vrstats-county-october-2024.pdf,2026-09-07,month-end report; reg_oth = Libertarian only; report shows no Active/Inactive split
OK,2026,2026-08-31,unstated,2437803,616739,1295163,23883,502018,Independent,https://oklahoma.gov/content/dam/ok/en/elections/voter-registration-statistics/2026-vr-statistics/2026-08-31_vrstats-county.pdf,2026-09-07,"newest OK month-end report as of 2026-09-07; note column ORDER changed (Republican first) — read by label, not position"
OR,2022,2022-10-05,unstated,2976195,1013268,730986,199615,1032326,Non Affiliated,https://records.sos.state.or.us/ORSOSCMSearch/Search/DocumentStream.ashx?uri=11125223,2026-09-07,"'October 2022' monthly report, stamped Prepared 10/5/2022; reg_oth includes Independent Party of Oregon (139427), a real party; No Labels and We the People columns do not exist in 2022"
OR,2024,2024-10-02,unstated,3051923,1005275,730249,208100,1108299,Non Affiliated,https://records.sos.state.or.us/ORSOSCMSearch/Search/DocumentStream.ashx?uri=11125188,2026-09-07,"'October 2024' monthly report, stamped Prepared 10/2/2024 and confirmed as snapshot date 2024-10-02 on data.oregon.gov; reg_oth includes Independent Party of Oregon (146899)"
